player,cost,round,n
1,15,1,1
2,8,1,1
3,12,1,1
4,12,1,1
1,25,2,1
2,18,2,1
3,21,2,1
4,22,2,1
2,28,3,1
1,15,1,2
2,19,1,2
3,17,1,2
4,15,1,2
1,19,2,2
2,23,2,2
3,16,2,2
4,25,2,2
1,20,3,2
3,19,3,2
1,30,4,2
3,20,4,2
3,28,5,2
1,11,1,3
2,15,1,3
3,21,1,3
4,14,1,3
1,15,2,3
2,20,2,3
3,13,2,3
4,21,2,3
1,25,3,3
2,19,3,3
3,15,3,3
2,22,4,3
3,25,4,3
1,15,1,4
2,14,1,4
3,14,1,4
4,13,1,4
1,17,2,4
2,24,2,4
3,24,2,4
4,18,2,4
1,19,3,4
4,28,3,4
1,19,4,4
1,29,5,4
1,20,1,5
2,14,1,5
3,11,1,5
4,17,1,5
1,22,2,5
2,13,2,5
3,18,2,5
4,21,2,5
2,21,3,5
3,22,3,5
1,11,1,6
2,19,1,6
3,12,1,6
4,20,1,6
1,12,2,6
2,23,2,6
3,22,2,6
4,26,2,6
1,14,3,6
1,23,4,6
1,21,1,7
2,18,1,7
3,14,1,7
4,6,1,7
1,13,2,7
2,18,2,7
3,24,2,7
4,16,2,7
1,20,3,7
2,28,3,7
4,19,3,7
1,21,4,7
4,24,4,7
1,21,1,8
2,18,1,8
3,20,1,8
4,17,1,8
1,18,2,8
2,24,2,8
3,29,2,8
4,26,2,8
1,22,3,8
1,14,1,9
2,19,1,9
3,11,1,9
4,21,1,9
1,22,2,9
2,26,2,9
3,15,2,9
4,12,2,9
3,19,3,9
4,22,3,9
3,23,4,9
1,9,1,10
2,14,1,10
3,13,1,10
4,6,1,10
1,15,2,10
2,24,2,10
3,21,2,10
4,13,2,10
1,25,3,10
4,18,3,10
4,21,4,10
1,20,1,11
2,21,1,11
3,21,1,11
4,8,1,11
1,26,2,11
2,19,2,11
3,20,2,11
4,18,2,11
2,23,3,11
3,27,3,11
4,28,3,11
1,12,1,12
2,18,1,12
3,10,1,12
4,15,1,12
1,20,2,12
2,20,2,12
3,12,2,12
4,20,2,12
1,27,3,12
2,30,3,12
3,19,3,12
4,30,3,12
3,25,4,12
1,14,1,13
2,17,1,13
3,19,1,13
4,9,1,13
1,16,2,13
2,25,2,13
3,20,2,13
4,19,2,13
1,26,3,13
3,28,3,13
4,25,3,13
1,17,1,14
2,7,1,14
3,21,1,14
4,20,1,14
1,25,2,14
2,11,2,14
3,21,2,14
4,25,2,14
2,20,3,14
2,21,4,14
1,20,1,15
2,9,1,15
3,12,1,15
4,20,1,15
1,26,2,15
2,14,2,15
3,13,2,15
4,25,2,15
2,19,3,15
3,19,3,15
2,23,4,15
3,29,4,15
1,12,1,16
2,13,1,16
3,13,1,16
4,15,1,16
1,22,2,16
2,17,2,16
3,23,2,16
4,17,2,16
2,25,3,16
4,27,3,16
1,20,1,17
2,15,1,17
3,21,1,17
4,9,1,17
1,26,2,17
2,22,2,17
3,13,2,17
4,18,2,17
3,17,3,17
4,22,3,17
3,18,4,17
3,26,5,17
1,15,1,18
2,16,1,18
3,13,1,18
4,12,1,18
1,22,2,18
2,17,2,18
3,19,2,18
4,17,2,18
2,27,3,18
3,25,3,18
4,21,3,18
1,21,1,19
2,10,1,19
3,20,1,19
4,15,1,19
1,14,2,19
2,20,2,19
